#Mr._Amyand
#Albert_Durer
#David_Loggan
#AB_Blosse_Bloteling
#T_Dackett
#Mrs._Pritchard
#Mrs._Merian
#Nicolas_Robert
#William_Faithorne
#Guilllaume_Toulouze
#Richard_Hooker
#Laurentius_Costerus
#Lens
#Mr._Bizot
#Orlando_Bridgeman
#Mr._Petyt
#Mr._Doyly
#Du_Bosse
#George_Duke_Albemarle
#Della_Bella
#Margaret_Smith
#John_Caius
#Samuel_Pepys
|# James_Stanier|
#Mrs._Johanna_Byron
#Barlow
#Mr._Jacob_Selo
#Alexander_Marshal
#William_Harvey
#Mrs_Fuller
#Jeremiah_Taverner
#Mr._Sam._Langley
#Wissen
#Rossi
#Mrs_Courten
#Van_Dyck
#John_Cecil_5th_Earl_of_Exeter
#Silvestre
#Mrs._Anne_Rose
#Hans_Holbein
#Miller
#Vesalius
#Antony_More
#Franciscus_Mercurius_van_Vanhelmont
#Thomas_Murray
#Mumper
#Sr_Theodore_Mayern
#Philip_Rose
#Mrs._Willoughby
#Peter_Paul_Rubens
#Polemburg
#Mrs_Sloane
#Ulisse_Aldrovandi
#Giorgione
#Mr_Cock
#Edmund_King
#Housman
#Mr_Kinsay
#HE
#Martin_Luther
#George_Jeffreys
#Frere_Jaques
#Adriaen_Brouwer
#Mr._Hughs
#Anna_Maria_van_Schurman
#William_Dobson
#Hilliard
#Mr_Thornton
#Frederik_Ruysch
#Mrs_Aesop
#Francesco_Cornaro
#Frederich_Saxony
#Earl_of_Essex
#Jacomo_Poro
#Barbara_van_Beck
#Olivar
#Sir_Thomas_More
#John_Fisher
#Sr._Gresham
#Abraham_Simon
|# Fielder_the_Vintner|
#John_Oliver
#Giovanni_Maria_Lancisi
#Sebastiano_Concha
#Mr._Dundasse
#William_Duke_of_Gloucester
#Valerius_Bellus
#Richard_Baker
#Jacques_Callot
#Moliere
#Pierre_Corneille
#Walker_painter
#Charles_Derby
#Jean_de_Labadie
#John_Fletcher
#Polidoro_di_Caravagio
#Mr._Simpson
#Lord_Archbishop_Dublin
#Frank_van_Borselen
#Philip_Wouwerman
#Tobias_Stranover
#Lord_Lynn
#Huysum
#Queen_Catherine
#Gilbert_Burnett
#Vanzoon
#Lord_Yarmouth
#J._Simmons
#Dr._Rugeley_father
#Alexander_Geekie_junior
#Mr_Jones
#Dr._Rugeley
#Major_John_Hanbury
#Sr_Godfrey_Kneller
#Alexander_Geekie_senior
#Mrs_John_Hanbury
#Walter_Churchman
#Jacob_Theodor_Klein
#Pasquier_Quesnel
#Guillaume_Dupre
#Godwin_Lewis
#Elizabeth_Blackwell
#Mr._Blackstone
#Mr._Jo._Hawkins
#Princess_Amalia
#Johannes_Osborn
#Herange
#John_Albert
#Mr_Lisle
#John_Ray
#Mrs._Thornburgh
#Mr._Halett
#Thomas_Britton
#John_Wollaston
#Mr._Pinchbeck
#Mr_usseau
#Mr_Wollfryes
#Mr._Butterfield
#Eustachio_de_divinis
#Charles_Scarburgh
#Edward_Baynard
#Colonel_Wharton
#Henry_Wynne
#Christophe_Albemarle
#Thomas_Brand
#William_Nicholson
#Mr._Thomas
#Mr_Vanhulse
#Mr._Marlow
#Mr._Tinsey
#Madam_Montmorency
