div3
person, M r. Aston.
catnum,-878.
div2,Miscellanies.
div3
person, M r. Perronet
catnum,-883.
div2,Miscellanies.
div3
person,M r. Gilberts
catnum,-888.
div2,Miscellanies.
div3
person, D r. Lister
catnum,-896.
div2,Miscellanies.
div3
person, W m. Lord Cowper
person, Earl of Oxford 
person,M r. Roberts
catnum,-897.
div2,Miscellanies.
div3
person, Albertus Seba
catnum,-900.
div2,Miscellanies.
div3
person, D r. Lister
catnum,-908.
div2,Miscellanies.
div3
person, D r. Lister
catnum,-910.
div2,Miscellanies.
div3
person, D r. Lister
catnum,-912.
div2,Miscellanies.
div3
person, D r. Steigertahl
catnum,-916.
div2,Miscellanies.
div3
person,M rs. Trenchfield
catnum,-909.
div2,Miscellanies.
div3
person, M r. Petiver
catnum,-910.
div2,Miscellanies.
div3
person,M r. Heathcote
catnum,-911. * 
div2,Miscellanies.
div3
person, M r. Petiver
catnum,-912. * 
div2,Miscellanies.
div3
person, M r. Petiver.
catnum,-913. ** 
div2,Miscellanies.
div3
person,M r. Moults
catnum,-915. * 
div2,Miscellanies.
div3
person,M r. Stallwood
catnum,-916. *
div2,Miscellanies.
div3
person, Pet
catnum,-917. * 
div2,Miscellanies.
div3
person, M r. Johnson
catnum,-919. * 
div2,Miscellanies.
div3
person, M r. Ott
catnum,-940.
div2,Miscellanies.
div3
person, Pet
catnum,-941.
div2,Miscellanies.
div3
person, Pet
catnum,-962.
div2,Miscellanies.
div3
person, L d Cadogan
catnum,-970.
div2,Miscellanies.
div3
person, Pet
catnum,-971.
div2,Miscellanies.
div3
person,Joy
person, Pet
catnum,-974.
div2,Miscellanies.
div3
person, James Petiver
catnum,-978.
div2,Miscellanies.
div3
person,M r. Alsop
catnum,-979.
div2,Miscellanies.
div3
person, Pet
catnum,-983.
div2,Miscellanies.
div3
person, Pet.
catnum,-987.
div2,Miscellanies.
div3
person, Pet
catnum,-989.
div2,Miscellanies.
div3
person,Bagford
person, Pet
catnum,-993.
div2,Miscellanies.
div3
person, Pet.
catnum,-998.
div2,Miscellanies.
div3
person, Pet
catnum,-1003.
div2,Miscellanies.
div3
person,Symmonds
catnum,-1005.
div2,Miscellanies.
div3
person,Riley
catnum,-1009.
div2,Miscellanies.
div3
person,M rs. Byde
catnum,-1011.
div2,Miscellanies.
div3
person, D r. Slare
catnum,-1012.
div2,Miscellanies.
div3
person,George Harris
person, Pet
catnum,-1019.
div2,Miscellanies.
div3
person,prince of Hesses
person,Bradyll
person,Mr. Conduit
catnum,-1022.
div2,Miscellanies.
div3
person, Baron Botmar
catnum,-1026.
div2,Miscellanies.
div3
person, D r. Steigertahl.
catnum,-1028.
div2,Miscellanies.
div3
person, Duke of Chandois
catnum,-1031.
div2,Miscellanies.
div3
person,Mr. Conduit
catnum,-1032.
div2,Miscellanies.
div3
person,D r. Bokelman
catnum,-1033.
div2,Miscellanies.
div3
person,D r. Bokelman
catnum,-1034.
div2,Miscellanies.
div3
person,M rs. Heathcotes
catnum,-1035.
div2,Miscellanies.
div3
person,M r. Serocold
catnum,-1037.
div2,Miscellanies.
div3
person, M r. Barham
catnum,-1038.
div2,Miscellanies.
div3
person,D r. Massy
catnum,-1039.
div2,Miscellanies.
div3
person, M r. Yale
catnum,-1042.
div2,Miscellanies.
div3
person, D r. Houston
catnum,-1044.
div2,Miscellanies.
div3
person, Yale
catnum,-1046.
div2,Miscellanies.
div3
person,M r. van Mildert.
catnum,-1051.
div2,Miscellanies.
div3
person,M r. Harvey
catnum,-1061.
div2,Miscellanies.
div3
person, D r. Kempfer
catnum,-1062.
div2,Miscellanies.
div3
person, D r. Steigertahl.
catnum,-1072.
div2,Miscellanies.
div3
person, D r. Kempfer
catnum,-1074.
div2,Miscellanies.
div3
person, Kempfer
catnum,-1075.
div2,Miscellanies.
div3
person, D r. Cyprianus.
catnum,-1080.
div2,Miscellanies.
div3
person, D r. Kempfer.
catnum,-1082.
div2,Miscellanies.
div3
person,M r. Hills
catnum,-1083.
div2,Miscellanies.
div3
person, M r. Dupuys
catnum,-1084.
div2,Miscellanies.
div3
